Nr,Titulaires,Votes,%,I,II,III,commune,parti,lien,liste
1,DEPREZ Jean-Pierre,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
2,LALA Carmelina,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
3,DEFOURNY François,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
4,CAUCHIE Florence,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
5,ADAM Charles,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
6,AVICE Lucette,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
7,GILOT Léon,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
8,NGUETSOP-LONTCHI Nicole,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
9,PEZZETTI Victor,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
10,HAUTENNE Myriam,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
11,HENIN Jean,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
12,COSTANZO Maria,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
13,CECCON Jimmy,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
14,HERMANS Jennifer,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
15,CLOVYN Fabian,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
16,WARNIER Annick,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
17,BIREMBAUT Edmond,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
18,ZICOT Micheline,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
19,VANKERKOVEN Vincent,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
20,VARNAS Kristelle,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
21,MARIQUE Jean-Pierre,0,0%,0,NA,NA,Aiseau-Presles,MR,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-11 LB
1,NAVEZ Pierre,0,0%,-,NA,NA,Aiseau-Presles,ECOLO,https://rwa-ma5.martineproject.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-11 LB
