Nr.,Titulaires,Votes,elu,commune,parti,lien,liste
1,Drouart Jérémie,1400,1,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
2,Müller-Hübsch Susanne,762,2,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
3,Rygaert François,401,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
4,Panis Pascale,431,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
5,Neuzy Alan,498,6,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
6,De Coninck Isabelle,524,5,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
7,Ishema Richard,283,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
8,Kammachi Nadia,747,3,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
9,Benjumea Moreno Juan,295,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
10,Seddouk Sofia,457,8,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
11,Raedts Stéphane,180,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
12,Van Lierde Julie,550,4,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
13,Lux Pierre-Yves,236,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
14,Warnotte Sylvie,294,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
15,Tavernier-Laurens Stefan,228,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
16,De Wilde Claire,355,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
17,Randisi Giuseppe-Maria,238,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
18,Mohammad Shahin,484,7,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
19,Janssens Jean-Marc,194,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
20,Croeckaert Ann,289,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
21,Vanwelde Sylvain,234,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
22,Devloo Ann,254,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
23,Voglaire Philippe,197,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
24,Noel Christine,254,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
25,Berends Roelof,138,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
26,Baeke Viviane,208,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
27,Vlaemminck Benoit,140,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
28,Gilsoul Martine,226,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
29,Bougrour Ali,245,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
30,Van De Velde Leen,258,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
31,Lauwers Tanguy,193,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
32,Vanheuverzwijn Alice,312,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
33,Vanwelde Luc,408,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
34,Fréret Fanny,235,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
35,Curtis Dudley,183,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
36,Meurens Emmanuelle,245,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
37,Bocquet Noé,163,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
38,Rygaert Marie,292,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
39,Cogels Jacques,145,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
40,Deléhouzée Chloé,263,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
41,Vandersmissen Quentin,136,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
42,Schriewer Sabine,231,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
43,Cerise Emmanuel,200,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
44,El Amrani Nawal,367,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
45,Colard Julien,181,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
46,Vanden Bosch Anne,341,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
47,Debry Philippe,434,,Anderlecht,ECOLO_GROEN,http://bru2018.brussels/fr/results/municipalities/6071/lists/31.html,Anderlecht-ECOLO_GROEN
1,Bogemans Louis,328,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
2,De Roover Seraphina,92,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
3,Bracke Frank,103,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
4,Wyns Francine,95,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
5,Roelands Shabir,64,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
6,Bracke Vibeke,54,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
7,Schots Luc,67,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
8,Vande Walle Andrée,63,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
9,Stas Robert,54,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
10,Thissen Yvette,60,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
11,Dils Philippe,51,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
12,Vercraeye Maria,64,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
13,Van Haelst Steven,60,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
14,Van Droogenbroeck Maria,94,,Anderlecht,VLAAMS BELANG,http://bru2018.brussels/fr/results/municipalities/6071/lists/255.html,Anderlecht-VLAAMS BELANG
1,Kestemont Alain,822,1,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
2,Dehenain Michou,283,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
3,Fernandez Lopez José,252,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
4,Ngalula Stéphanie,297,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
5,Loop Emmanuel,145,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
6,Top Mine,125,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
7,Bibani Anis,215,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
8,Menzynski Myriam,155,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
9,Arslan Naher,95,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
10,Scheveneels Dorothée,256,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
11,Yaman Mustafa,363,3,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
12,De Bolster Martine,135,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
13,Legas Jacques,87,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
14,Stiévenart Nadine,156,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
15,Zang Ndo Nkolo Fernand,151,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
16,Luca Antonia,115,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
17,Marquegnies Tanguy,132,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
18,Seybou Zeinabou,96,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
19,da Silva Espinho Carlos,137,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
20,Mispelaere Pascale,120,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
21,Nogueira Miranda Márcio,51,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
22,Pereira Narciandi Beatriz,83,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
23,Azdoud Atef,131,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
24,Ahmetaj Faket,88,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
25,Nocent Christophe,78,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
26,Vandersanden Muriel,93,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
27,Trapasso Antonio,50,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
28,Byloos Morgane,82,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
29,Ouertani Ramez,72,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
30,Riggio Lisa,66,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
31,Julien Cedric,119,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
32,Diaz Suarez Sonia,79,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
33,Verheyden Pierre,82,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
34,Coulibaly Aïcha,120,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
35,Stanciu Daniel,127,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
36,Maghra Malika,120,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
37,Correia De Sousa Antonio,67,,Anderlecht,DéFI,http://bru2018.brussels/fr/results/municipalities/6071/lists/73.html,Anderlecht-DéFI
