Nr.,Titulaires,Votes,%,I,II,III,commune,parti,lien,liste
1,DEPREZ Jean-Pierre,198,"26,36%",198,1,NA,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
2,LALA Carmelina,89,"11,85%",89,NA,1,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
3,DEFOURNY François,38,"5,06%",38,NA,4,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
4,CAUCHIE Florence,39,"5,19%",39,NA,3,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
5,ADAM Charles,25,"3,33%",25,NA,7,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
6,AVICE Lucette,21,"2,80%",21,NA,11,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
7,GILOT Léon,30,"3,99%",30,NA,5,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
8,NGUETSOP-LONTCHI Nicole,22,"2,93%",22,NA,10,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
9,PEZZETTI Victor,20,"2,66%",20,NA,14,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
10,HAUTENNE Myriam,23,"3,06%",23,NA,9,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
11,HENIN Jean,20,"2,66%",20,NA,15,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
12,COSTANZO Maria,21,"2,80%",21,NA,12,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
13,CECCON Jimmy,17,"2,26%",17,NA,17,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
14,HERMANS Jennifer,21,"2,80%",21,NA,13,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
15,CLOVYN Fabian,14,"1,86%",14,NA,19,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
16,WARNIER Annick,20,"2,66%",20,NA,16,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
17,BIREMBAUT Edmond,10,"1,33%",10,NA,20,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
18,ZICOT Micheline,17,"2,26%",17,NA,18,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
19,VANKERKOVEN Vincent,26,"3,46%",26,NA,6,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
20,VARNAS Kristelle,25,"3,33%",25,NA,8,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
21,MARIQUE Jean-Pierre,55,"7,32%",55,NA,2,Aiseau-Presles,MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5,Aiseau-Presles-MR
1,NAVEZ Pierre,83,"26,35%",83,1,NA,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
2,RUGGIN Maria Christina,77,"24,44%",77,NA,1,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
3,DE ROOVER Pierre,56,"17,78%",56,NA,2,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
4,VANVELTHEM Marie-Paule,51,"16,19%",51,NA,3,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
5,MARLIER Frédéric,48,"15,24%",48,NA,4,Aiseau-Presles,ECOLO,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=6,Aiseau-Presles-ECOLO
1,FERSINI Jean,1.388,"23,79%",1.388,1,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
2,GEERAERTS Virginie,510,"8,74%",510,3,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
3,GRENIER Dominique,520,"8,91%",520,2,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
4,WALKA Melissa,207,"3,55%",207,10,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
5,VALENTIN Vincent,339,"5,81%",339,4,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
6,AZZAZ Walaba,323,"5,54%",323,5,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
7,BERDOYES Lionel,144,"2,47%",144,NA,5,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
8,DRESSE Anne-Lise,198,"3,39%",198,NA,1,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
9,DEMARS Didier,145,"2,49%",145,NA,4,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
10,LORGE Caroline,90,"1,54%",90,NA,11,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
11,NOTO Christopher,131,"2,25%",131,NA,7,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
12,LORENT Nathalie,100,"1,71%",100,NA,9,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
13,ARENA Pierro,253,"4,34%",253,8,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
14,TUMSON Martine,103,"1,77%",103,NA,8,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
15,HENROTIN Rapha,96,"1,65%",96,NA,10,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
16,COLAUX Cécile,220,"3,77%",220,9,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
17,COSTENARO Sylvain,175,3%,175,NA,3,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
18,DEYONGHE BANCU Annick,136,"2,33%",136,NA,6,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
19,BIRINCI Fatih,259,"4,44%",259,7,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
20,BERGER Géraldine,190,"3,26%",190,NA,2,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
21,STANDAERT Rudy,308,"5,28%",308,6,NA,Aiseau-Presles,PS,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=8,Aiseau-Presles-PS
1,CHARLIER Philippe,618,"11,34%",618,1,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
2,SMOLDERS LESIRE Laurence,282,"5,17%",282,6,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
3,HUCQ Gérard,501,"9,19%",501,2,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
4,LAFAILLE SABATO Coralie,227,"4,17%",227,NA,2,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
5,HAMEG Moktar,435,"7,98%",435,5,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
6,DEMIRKAN Busra,486,"8,92%",486,3,NA,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
7,BIERWART Jean-Pierre,224,"4,11%",224,NA,4,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
8,PIEDIGROSSO Isabelle,144,"2,64%",144,NA,7,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
9,KAYA Engin,225,"4,13%",225,NA,3,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
10,D'AGOSTINO Anna-Vittoria,140,"2,57%",140,NA,8,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
11,BEN MEKKI Abdelilah,120,"2,20%",120,NA,9,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
12,LAMBOT Karine,184,"3,38%",184,NA,5,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
13,GRAVY Alain,110,"2,02%",110,NA,11,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
14,GILLIARD Stéphanie,109,2%,109,NA,12,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
15,PENNUCCI David,107,"1,96%",107,NA,13,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
16,HALSEN Janine,117,"2,15%",117,NA,10,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
17,MORAUX Jean-Marie,237,"4,35%",237,NA,1,Aiseau-Presles,ENSEMBLE,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=72,Aiseau-Presles-ENSEMBLE
