region,﻿Nr.,Titulaires,Votes,position_elu,elu,commune,code_ins_commune,parti,liste,lien
Wallonie,1,DEPREZ Jean-Pierre,198,1,oui,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,2,LALA Carmelina,89,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,3,DEFOURNY François,38,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,4,CAUCHIE Florence,39,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,5,ADAM Charles,25,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,6,AVICE Lucette,21,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,7,GILOT Léon,30,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,8,NGUETSOP-LONTCHI Nicole,22,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,9,PEZZETTI Victor,20,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,10,HAUTENNE Myriam,23,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,11,HENIN Jean,20,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
Wallonie,12,COSTANZO Maria,21,,non,Aiseau-Presles,52074,MR,Aiseau-Presles-MR,https://elections2018.wallonie.be/fr/votes-nominatifs?el=CG&id=CGM52074&party=5
