place_liste,nom,voix,pourcent_liste,voix_devolues,voix_apres_devolution,voix_restantes,position_elu,position_suppleance,commune,parti,lien
1,VAN LYSEBETTEN Nadine,700,28.32,806,1.506,336,1,,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
2,LICHTERT Dirk,240,9.71,336,576,0,2,,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
3,DE DEKEN Hugo,176,7.12,0,176,0,,1,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
4,KESSEN Shanna,126,5.1,0,126,0,,5,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
5,BRAECKMAN Anaïs,135,5.46,0,135,0,,3,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
6,DE DEKEN Anne-Marie,132,5.34,0,132,0,,4,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
7,VAN LYSEBETTEN Maurice,110,4.45,0,110,0,,8,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
8,ROOSE Bruno,115,4.65,0,115,0,,6,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
9,PENNINCKX Cynthia,114,4.61,0,114,0,,7,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
10,VERMEULEN Judith,105,4.25,0,105,0,,9,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
11,RINDIGNEZ Jozef,85,3.44,0,85,0,,13,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
12,GOOSSENS Angèle,93,3.76,0,93,0,,12,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
13,DE NEEF Achille,99,4,0,99,0,,11,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
14,VEREST Juliana,100,4.05,0,100,0,,10,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
15,DE SAEDELEER Jean-Pierre,142,5.74,0,142,0,,2,ANDERLECHT,N-VA,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_144.html
1,VAN GOIDSENHOVEN Gaëtan,5.003,22.08,5.869,10.872,7.669,1,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
2,CASSART Monique,1.786,7.88,7.669,9.455,0,2,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
3,BOELPAEPE Jean-Jacques,903,3.99,0,903,0,5,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
4,VANDENBOSSCHE Walter,1.067,4.71,0,1.067,0,3,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
5,CARLIER Françoise,1.045,4.61,0,1.045,0,4,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
6,DIELIS Christophe,829,3.66,0,829,0,6,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
7,ADINE Kamal,401,1.77,0,401,0,14,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
8,DUBRU Oscar,537,2.37,0,537,0,10,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
9,VANPEVENAGE Anne-Marie,393,1.73,0,393,0,,1,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
10,BRUSSEEL Ann,467,2.06,0,467,0,11,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
11,MICHIELS Patricia,317,1.4,0,317,0,,2,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
12,GARTI MOULKI Mohamed,176,0.78,0,176,0,,24,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
13,BAJAT Myriam,333,1.47,0,333,0,,5,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
14,MERTENS Anne,574,2.53,0,574,0,9,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
15,VAN HEE Stefaan,298,1.32,0,298,0,,12,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
16,BERTRAND Didier,426,1.88,0,426,0,12,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
17,PYPENS René,577,2.55,0,577,0,8,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
18,ULUSOY Mustafa,422,1.86,0,422,0,13,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
19,SOUSSI R' BIHI Laeila,212,0.94,0,212,0,,21,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
20,LONGIN Erik,370,1.63,0,370,0,,3,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
21,T'SJOEN Jacqueline,202,0.89,0,202,0,,22,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
22,TUZOLANA Albert,150,0.66,0,150,0,,27,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
23,GRÉGOIRE Nicolas,193,0.85,0,193,0,,23,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
24,SMEESTERS Joëlle,268,1.18,0,268,0,,14,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
25,RAFAÊ M'RABET Farida,110,0.49,0,110,0,,31,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
26,VAN DE ZANDSCHULP Jacob,156,0.69,0,156,0,,26,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
27,BOUQUET Michaël,220,0.97,0,220,0,,20,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
28,FIERIN Carine,237,1.05,0,237,0,,16,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
29,DEDA Vera,136,0.6,0,136,0,,29,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
30,HAESEBROUCK Damienne,225,0.99,0,225,0,,19,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
31,ROY Léa Christine,270,1.19,0,270,0,,13,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
32,MAHIEU Nathalie,346,1.53,0,346,0,,4,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
33,POUPART Pascal,237,1.05,0,237,0,,17,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
34,BAYET Marianne,299,1.32,0,299,0,,11,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
35,TUSALAMO-BAYIZILA Mathieu,118,0.52,0,118,0,,30,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
36,MATTHEUS Pieter-Jan,308,1.36,0,308,0,,9,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
37,MOTTINT Yun Hee,331,1.46,0,331,0,,6,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
38,VANDYCK Achille-Junior,801,3.54,0,801,0,7,,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
39,ASIF Mohammad,108,0.48,0,108,0,,32,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
40,VANDERMEULEN Adeline,232,1.02,0,232,0,,18,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
41,PENNEWAERT Nada,139,0.61,0,139,0,,28,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
42,FLINT-VANHIXE Nadia,246,1.09,0,246,0,,15,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
43,CHRYSOSTOME Chantalia,82,0.36,0,82,0,,33,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
44,RIGO Dalida,307,1.35,0,307,0,,10,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
45,TAILDEMAN Laurent,166,0.73,0,166,0,,25,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
46,RAVERT Daniel,312,1.38,0,312,0,,8,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
47,VANDECASTEELE Guy,324,1.43,0,324,0,,7,ANDERLECHT,LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html
1,DEPRÉ Danielle,962,18.43,1.663,2.625,419,1,,ANDERLECHT,FDF,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_129.html
2,KESTEMONT Alain,359,6.88,419,778,0,2,,ANDERLECHT,FDF,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_129.html
3,EMPAIN Patricia,265,5.08,0,265,0,3,,ANDERLECHT,FDF,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_129.html
4,BENMRAH Halina,195,3.74,0,195,0,,1,ANDERLECHT,FDF,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_129.html
5,MOINY-BISTER Anne,116,2.22,0,116,0,,8,ANDERLECHT,FDF,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_129.html
6,MBAYA KADIA Dominique,79,1.51,0,79,0,,16,ANDERLECHT,FDF,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_129.html
7,BRACKE Nathalie,141,2.7,0,141,0,,4,ANDERLECHT,FDF,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_129.html
