place_liste,nom,voix,pourcent_liste,voix_devolues,voix_apres_devolution,voix_restantes,position_elu,position_suppleance,commune,parti,lien
1,FERSINI Jean,1.717,20.74,1.789,3.506,1.090,1,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
2,ÖZEN Özlem,651,7.86,1.090,1.741,0,2,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
3,GRENIER Dominique,627,7.57,0,627,0,5,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
4,VALENTIN Vincent,414,5,0,414,0,7,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
5,TROTTA Graziana,751,9.07,0,751,0,3,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
6,STANDAERT Rudy,310,3.74,0,310,0,10,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
7,GEERAERTS Virginie,408,4.93,0,408,0,8,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
8,TAVERNINI Jean-Jacques,382,4.61,0,382,0,9,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
9,SPADAVECCHIA Vanessa,177,2.14,0,177,0,,2,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
10,BERDOYES Lionel,213,2.57,0,213,0,13,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
11,BAUDOUX Marguerite,70,0.85,0,70,0,,7,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
12,FERRIÈRE Olivier,171,2.07,0,171,0,,3,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
13,LEGRAND Anita,121,1.46,0,121,0,,5,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
14,MEDINA-MERCHAN Francisco,252,3.04,0,252,0,12,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
15,STANIEWSKI Kristel,147,1.78,0,147,0,,4,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
16,DEMARS Didier,188,2.27,0,188,0,,1,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
17,VANDE VELDE Marie-Laurence,121,1.46,0,121,0,,6,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
18,CALVETTI Dorothée,68,0.82,0,68,0,,8,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
19,BANCU Daniel,558,6.74,0,558,0,6,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
20,AZZAZ Walaba,258,3.12,0,258,0,11,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
21,DAUVIN Guy,676,8.16,0,676,0,4,,AISEAU-PRESLES,P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_3.html
1,MARIQUE JEAN PIERRE,239,20.19,319,558,28,1,,AISEAU-PRESLES,MR,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_10.html
2,DAGNELY NADINE,71,6,28,99,0,2,,AISEAU-PRESLES,MR,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_10.html
3,SIDIS SAMY,90,7.6,0,90,0,,1,AISEAU-PRESLES,MR,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_10.html
4,MASSET JORDAN,53,4.48,0,53,0,,8,AISEAU-PRESLES,MR,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM52074_10.html
