place_liste,nom,position_elu,elu,place_positionelu,commune,INS_commune,province,parti,parti_propre,liste,lien,last_elu,diff_avec_last
44,FAWAY Michel,9,oui,35,Liège,62063,Liège,PS,PS,LIÈGE/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62063_3.html,13,31
38,VANDYCK Achille-Junior,7,oui,31,Anderlecht,21001,Bruxelles-Capitale,LB,LB,ANDERLECHT/LB,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_172.html,8,30
43,KLEIN Dorothée,13,oui,30,Namur,92094,Namur,CDH,CDH,NAMUR/CDH,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92094_4.html,9,34
40,DELFORGE Céline,11,oui,29,Ixelles,21009,Bruxelles-Capitale,ECOLO-GROEN,ECOLO,IXELLES/Ecolo-Groen,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21009_128.html,8,32
44,MAILLEUX Patrick,16,oui,28,Namur,92094,Namur,CDH,CDH,NAMUR/CDH,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM92094_4.html,9,35
43,MOSTEFA Lotfi,17,oui,26,Anderlecht,21001,Bruxelles-Capitale,PS-SP.A-CDH,PS-SP.A-CDH,ANDERLECHT/PS-SP.A-CDH,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_132.html,8,35
34,GHALLADA El-Houssien,8,oui,26,Anderlecht,21001,Bruxelles-Capitale,PS-SP.A-CDH,PS-SP.A-CDH,ANDERLECHT/PS-SP.A-CDH,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_132.html,8,26
33,KAYA Abdurrahman,7,oui,26,Anderlecht,21001,Bruxelles-Capitale,PS-SP.A-CDH,PS-SP.A-CDH,ANDERLECHT/PS-SP.A-CDH,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_132.html,8,25
33,VANDECAUTER Jean-Michel,8,oui,25,Tournai,57081,Hainaut,PS,PS,TOURNAI/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57081_3.html,7,26
31,BUSCEMI Antonino,6,oui,25,La Louvière,55022,Hainaut,PS,PS,LA LOUVIÈRE/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55022_3.html,6,25
40,NAHIME Khadija,16,oui,24,Mons,53053,Hainaut,P.S.,PS,MONS/P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53053_3.html,9,31
33,LUYPAERTS Aurelia,9,oui,24,Verviers,63079,Liège,MR,MR,VERVIERS/MR,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM63079_10.html,4,29
34,OBERWOITS Jacques,10,oui,24,Brussels,21004,Bruxelles-Capitale,MR VLD,MR VLD,BRUXELLES/MR VLD,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21004_172.html,5,29
33,NEUPREZ Audrey,9,oui,24,Liège,62063,Liège,MR,MR,LIÈGE/MR,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM62063_10.html,7,26
25,OUIRINI El Hassan,2,oui,23,Saint-Gilles - Sint-Gillis,21013,Bruxelles-Capitale,CDH,CDH,SAINT-GILLES/CDH,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21013_137.html,1,24
28,KOYUNCU Hasan,5,oui,23,Schaerbeek,21015,Bruxelles-Capitale,PS,PS,SCHAERBEEK/PS,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21015_132.html,4,24
38,POURBAIX Alain,16,oui,22,La Louvière,55022,Hainaut,PS,PS,LA LOUVIÈRE/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM55022_3.html,6,32
34,LIÉNARD Laetitia,12,oui,22,Tournai,57081,Hainaut,PS,PS,TOURNAI/PS,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM57081_3.html,7,27
40,AHMIRI Latifa,19,oui,21,Anderlecht,21001,Bruxelles-Capitale,PS-SP.A-CDH,PS-SP.A-CDH,ANDERLECHT/PS-SP.A-CDH,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_132.html,8,32
37,BOUKANTAR Mohammed,16,oui,21,Brussels,21004,Bruxelles-Capitale,PS - sp.a,PS - sp.a,BRUXELLES/PS - sp.a,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21004_132.html,9,28
35,BOUSTANI Abdallah,14,oui,21,Anderlecht,21001,Bruxelles-Capitale,PS-SP.A-CDH,PS-SP.A-CDH,ANDERLECHT/PS-SP.A-CDH,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21001_132.html,8,27
30,ANNHARI Yassine,9,oui,21,Jette,21010,Bruxelles-Capitale,PS - sp.a,PS - sp.a,JETTE/PS - sp.a,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21010_132.html,3,27
31,SÖNMEZ Döne,10,oui,21,Schaerbeek,21015,Bruxelles-Capitale,PS,PS,SCHAERBEEK/PS,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21015_132.html,4,27
35,KAYEMBE KALUNGA,14,oui,21,Mons,53053,Hainaut,P.S.,PS,MONS/P.S.,http://electionslocales.wallonie.be/2012/fr/com/preferred/preferred_CGM53053_3.html,9,26
28,BAILLY Elsa,7,oui,21,Saint-Gilles - Sint-Gillis,21013,Bruxelles-Capitale,ECOLO-GROEN,ECOLO,SAINT-GILLES/ECOLO-GROEN,http://bru2012.irisnet.be/fr/com/preferred/preferred_CGM21013_128.html,2,26
