INS,Entités administratives,Langue,Administratieve eenheden,Province,Region
21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
21002,Auderghem,FN,Oudergem,BXL,RÉGION DE BRUXELLES-CAPITALE
21003,Berchem-Sainte-Agathe,FN,Sint-Agatha-Berchem,BXL,RÉGION DE BRUXELLES-CAPITALE
21004,Bruxelles,FN,Brussel,BXL,RÉGION DE BRUXELLES-CAPITALE
21005,Etterbeek,FN,Etterbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
21006,Evere,FN,Evere,BXL,RÉGION DE BRUXELLES-CAPITALE
21007,Forest,FN,Vorst,BXL,RÉGION DE BRUXELLES-CAPITALE
21008,Ganshoren,FN,Ganshoren,BXL,RÉGION DE BRUXELLES-CAPITALE
21009,Ixelles,FN,Elsene,BXL,RÉGION DE BRUXELLES-CAPITALE
21010,Jette,FN,Jette,BXL,RÉGION DE BRUXELLES-CAPITALE
21011,Koekelberg,FN,Koekelberg,BXL,RÉGION DE BRUXELLES-CAPITALE
21012,Molenbeek-Saint-Jean,FN,Sint-Jans-Molenbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
21013,Saint-Gilles,FN,Sint-Gillis,BXL,RÉGION DE BRUXELLES-CAPITALE
21014,Saint-Josse-ten-Noode,FN,Sint-Joost-ten-Node,BXL,RÉGION DE BRUXELLES-CAPITALE
21015,Schaerbeek,FN,Schaarbeek,BXL,RÉGION DE BRUXELLES-CAPITALE
21016,Uccle,FN,Ukkel,BXL,RÉGION DE BRUXELLES-CAPITALE
21017,Watermael-Boitsfort,FN,Watermaal-Bosvoorde,BXL,RÉGION DE BRUXELLES-CAPITALE
21018,Woluwe-Saint-Lambert,FN,Sint-Lambrechts-Woluwe,BXL,RÉGION DE BRUXELLES-CAPITALE
21019,Woluwe-Saint-Pierre,FN,Sint-Pieters-Woluwe,BXL,RÉGION DE BRUXELLES-CAPITALE
11001,Aartselaar,N,Aartselaar,Province d'Anvers,RÉGION FLAMANDE
11002,Anvers,N,Antwerpen,Province d'Anvers,RÉGION FLAMANDE
11004,Boechout,N,Boechout,Province d'Anvers,RÉGION FLAMANDE
11005,Boom,N,Boom,Province d'Anvers,RÉGION FLAMANDE
11007,Borsbeek,N,Borsbeek,Province d'Anvers,RÉGION FLAMANDE
11008,Brasschaat,N,Brasschaat,Province d'Anvers,RÉGION FLAMANDE
11009,Brecht,N,Brecht,Province d'Anvers,RÉGION FLAMANDE
11013,Edegem,N,Edegem,Province d'Anvers,RÉGION FLAMANDE
11016,Essen,N,Essen,Province d'Anvers,RÉGION FLAMANDE
11018,Hemiksem,N,Hemiksem,Province d'Anvers,RÉGION FLAMANDE
11021,Hove,N,Hove,Province d'Anvers,RÉGION FLAMANDE
11022,Kalmthout,N,Kalmthout,Province d'Anvers,RÉGION FLAMANDE
11023,Kapellen,N,Kapellen,Province d'Anvers,RÉGION FLAMANDE
11024,Kontich,N,Kontich,Province d'Anvers,RÉGION FLAMANDE
11025,Lint,N,Lint,Province d'Anvers,RÉGION FLAMANDE
11057,Malle,N,Malle,Province d'Anvers,RÉGION FLAMANDE
11029,Mortsel,N,Mortsel,Province d'Anvers,RÉGION FLAMANDE
11030,Niel,N,Niel,Province d'Anvers,RÉGION FLAMANDE
11035,Ranst,N,Ranst,Province d'Anvers,RÉGION FLAMANDE
11037,Rumst,N,Rumst,Province d'Anvers,RÉGION FLAMANDE
11038,Schelle,N,Schelle,Province d'Anvers,RÉGION FLAMANDE
11039,Schilde,N,Schilde,Province d'Anvers,RÉGION FLAMANDE
11040,Schoten,N,Schoten,Province d'Anvers,RÉGION FLAMANDE
11044,Stabroek,N,Stabroek,Province d'Anvers,RÉGION FLAMANDE
11050,Wijnegem,N,Wijnegem,Province d'Anvers,RÉGION FLAMANDE
11052,Wommelgem,N,Wommelgem,Province d'Anvers,RÉGION FLAMANDE
11053,Wuustwezel,N,Wuustwezel,Province d'Anvers,RÉGION FLAMANDE
11054,Zandhoven,N,Zandhoven,Province d'Anvers,RÉGION FLAMANDE
11055,Zoersel,N,Zoersel,Province d'Anvers,RÉGION FLAMANDE
11056,Zwijndrecht,N,Zwijndrecht,Province d'Anvers,RÉGION FLAMANDE
12002,Berlaar,N,Berlaar,Province d'Anvers,RÉGION FLAMANDE
12005,Bonheiden,N,Bonheiden,Province d'Anvers,RÉGION FLAMANDE
12007,Bornem,N,Bornem,Province d'Anvers,RÉGION FLAMANDE
12009,Duffel,N,Duffel,Province d'Anvers,RÉGION FLAMANDE
12014,Heist-op-den-Berg,N,Heist-op-den-Berg,Province d'Anvers,RÉGION FLAMANDE
12021,Lierre,N,Lier,Province d'Anvers,RÉGION FLAMANDE
12025,Malines,N,Mechelen,Province d'Anvers,RÉGION FLAMANDE
12026,Nijlen,N,Nijlen,Province d'Anvers,RÉGION FLAMANDE
12029,Putte,N,Putte,Province d'Anvers,RÉGION FLAMANDE
12041,Puurs-Sint-Amands,N,Puurs-Sint-Amands,Province d'Anvers,RÉGION FLAMANDE
12035,Sint-Katelijne-Waver,N,Sint-Katelijne-Waver,Province d'Anvers,RÉGION FLAMANDE
12040,Willebroek,N,Willebroek,Province d'Anvers,RÉGION FLAMANDE
13001,Arendonk,N,Arendonk,Province d'Anvers,RÉGION FLAMANDE
13002,Baerle-Duc,N,Baarle-Hertog,Province d'Anvers,RÉGION FLAMANDE
13003,Balen,N,Balen,Province d'Anvers,RÉGION FLAMANDE
13004,Beerse,N,Beerse,Province d'Anvers,RÉGION FLAMANDE
13006,Dessel,N,Dessel,Province d'Anvers,RÉGION FLAMANDE
13008,Geel,N,Geel,Province d'Anvers,RÉGION FLAMANDE
13010,Grobbendonk,N,Grobbendonk,Province d'Anvers,RÉGION FLAMANDE
13011,Herentals,N,Herentals,Province d'Anvers,RÉGION FLAMANDE
