numero,liste,resultat_2019,resultat_2014,pourcent_2019,pourcent_2014,evolution_en_pourcent,commune,lien,INS,Entités administratives,Langue,Administratieve eenheden,Province,Region
2,ECOLO,7.018,3.266,"16,29%","7,41%","+8,88%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
3,Open Vld,710,1.155,"1,65%","2,62%","-0,97%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
5,CDH,1.987,4.142,"4,61%","9,40%","-4,79%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
6,MR,5.559,8.010,"12,91%","18,18%","-5,27%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
7,PARTI POPULAIRE,945,1.051,"2,19%","2,38%","-0,19%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
8,N-VA,1.714,1.573,"3,98%","3,57%","+0,41%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
9,VLAAMS BELANG,1.186,826,"2,75%","1,87%","+0,88%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
10,CD&V,602,865,"1,40%","1,96%","-0,57%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
11,DéFI,2.848,-,"6,61%",-,"+0,39%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,FDF,-,2.740,-,"6,22%",-,Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
12,PTB*PVDA,8.171,-,"18,97%",-,"+15,43%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,PTB*PVDA-GO !,-,1.559,-,"3,54%",-,Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
13,LISTES DESTEXHE,837,-,"1,94%",-,-,Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
17,PS,11.498,13.767,"26,69%","31,24%","-4,55%",Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
NA,sp.a,-,1.253,-,"2,84%",-,Anderlecht,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX21001,21001,Anderlecht,FN,Anderlecht,BXL,RÉGION DE BRUXELLES-CAPITALE
